module,type,name,res_id,src,value,comments
web_unsplash,model,"account.account.type,name",account.data_account_off_sheet,Off-Balance Sheet,,
web_unsplash,model,"account.account.type,name",account.data_account_type_credit_card,Credit Card,,
web_unsplash,model,"account.account.type,name",account.data_account_type_current_assets,Current Assets,,
web_unsplash,model,"account.account.type,name",account.data_account_type_current_liabilities,Current Liabilities,,
web_unsplash,model,"account.account.type,name",account.data_account_type_depreciation,Depreciation,,
web_unsplash,model,"account.account.type,name",account.data_account_type_direct_costs,Cost of Revenue,,
web_unsplash,model,"account.account.type,name",account.data_account_type_equity,Equity,,
web_unsplash,model,"account.account.type,name",account.data_account_type_expenses,Expenses,,
web_unsplash,model,"account.account.type,name",account.data_account_type_fixed_assets,Fixed Assets,,
web_unsplash,model,"account.account.type,name",account.data_account_type_liquidity,Bank and Cash,,
web_unsplash,model,"account.account.type,name",account.data_account_type_non_current_assets,Non-current Assets,,
web_unsplash,model,"account.account.type,name",account.data_account_type_non_current_liabilities,Non-current Liabilities,,
web_unsplash,model,"account.account.type,name",account.data_account_type_other_income,Other Income,,
web_unsplash,model,"account.account.type,name",account.data_account_type_payable,Payable,,
web_unsplash,model,"account.account.type,name",account.data_account_type_prepayments,Prepayments,,
web_unsplash,model,"account.account.type,name",account.data_account_type_receivable,Receivable,,
web_unsplash,model,"account.account.type,name",account.data_account_type_revenue,Income,,
web_unsplash,model,"account.account.type,name",account.data_unaffected_earnings,Current Year Earnings,,
web_unsplash,model,"account.incoterms,name",account.incoterm_CFR,COST AND FREIGHT,,
web_unsplash,model,"account.incoterms,name",account.incoterm_CIF,"COST, INSURANCE AND FREIGHT",,
web_unsplash,model,"account.incoterms,name",account.incoterm_CIP,CARRIAGE AND INSURANCE PAID TO,,
web_unsplash,model,"account.incoterms,name",account.incoterm_CPT,CARRIAGE PAID TO,,
web_unsplash,model,"account.incoterms,name",account.incoterm_DAP,DELIVERED AT PLACE,,
web_unsplash,model,"account.incoterms,name",account.incoterm_DDP,DELIVERED DUTY PAID,,
web_unsplash,model,"account.incoterms,name",account.incoterm_DPU,DELIVERED AT PLACE UNLOADED,,
web_unsplash,model,"account.incoterms,name",account.incoterm_EXW,EX WORKS,,
web_unsplash,model,"account.incoterms,name",account.incoterm_FAS,FREE ALONGSIDE SHIP,,
web_unsplash,model,"account.incoterms,name",account.incoterm_FCA,FREE CARRIER,,
web_unsplash,model,"account.incoterms,name",account.incoterm_FOB,FREE ON BOARD,,
web_unsplash,model,"account.payment.method,name",account.account_payment_method_manual_in,Manual,,
web_unsplash,model,"account.payment.method,name",account.account_payment_method_manual_out,Manual,,
web_unsplash,model,"account.payment.method,name",payment.account_payment_method_electronic_in,Electronic,,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_15days,Payment terms: 15 Days,,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_21days,21 Days,,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_21days,Payment terms: 21 Days,,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_2months,2 Months,,
